old	new	source
seq-patcher-buffer	eseq.seq-step-tabs/seq-patcher-buffer	content/ui/seq-step-tabs.lisp
seq-patcher-source-buffer	eseq.seq-step-tabs/seq-patcher-source-buffer	content/ui/seq-step-tabs.lisp
seq-plock-panel-mode	eseq.effects.buffers/seq-plock-panel-mode	content/ui/effects/buffers.lisp
seq-refresh-current-layout	eseq.seq-layout/refresh-current-layout	content/ui/seq-layout.lisp
seq-register-script-source-tab	eseq.seq-script-picker/seq-register-script-source-tab	content/ui/seq-script-picker.lisp
seq-register-script-step-sequencer-tab	eseq.seq-step-tabs/seq-register-script-step-sequencer-tab	content/ui/seq-step-tabs.lisp
seq-register-step-sequencer-tab	eseq.seq-step-tabs/seq-register-step-sequencer-tab	content/ui/seq-step-tabs.lisp
seq-registered-step-tabs	eseq.seq-step-tabs/seq-registered-step-tabs	content/ui/seq-step-tabs.lisp
seq-reorder-scene-drop	eseq.transport/seq-reorder-scene-drop	content/ui/transport.lisp
seq-restore-instrument-patcher-layout	eseq.seq-panels/seq-restore-instrument-patcher-layout	content/ui/seq-panels.lisp
seq-sanitized-step-buffer	eseq.seq-step-tabs/seq-sanitized-step-buffer	content/ui/seq-step-tabs.lisp
seq-script-append-to-scratch	eseq.seq-script-picker/seq-script-append-to-scratch	content/ui/seq-script-picker.lisp
seq-script-default-dir	eseq.seq-script-picker/seq-script-default-dir	content/ui/seq-script-picker.lisp
seq-script-entry-visible?	eseq.seq-script-picker/seq-script-entry-visible?	content/ui/seq-script-picker.lisp
seq-script-load-file	eseq.seq-script-picker/seq-script-load-file	content/ui/seq-script-picker.lisp
seq-script-picker	eseq.seq-script-picker/seq-script-picker	content/ui/seq-script-picker.lisp
seq-script-remember-source-buffer	eseq.seq-script-picker/seq-script-remember-source-buffer	content/ui/seq-script-picker.lisp
seq-script-scratch-entry	eseq.seq-script-picker/seq-script-scratch-entry	content/ui/seq-script-picker.lisp
seq-select-main-step-tab-by-index	eseq.seq-step-tabs/seq-select-main-step-tab-by-index	content/ui/seq-step-tabs.lisp
seq-set-process-lane-from-step	eseq.step-grid-interactions/seq-set-process-lane-from-step	content/ui/step-grid-interactions.lisp
seq-set-record-quantize	eseq.transport/seq-set-record-quantize	content/ui/transport.lisp
seq-set-scene-launch-quantize	eseq.transport/seq-set-scene-launch-quantize	content/ui/transport.lisp
seq-set-step-param-from-step	eseq.step-grid-interactions/seq-set-step-param-from-step	content/ui/step-grid-interactions.lisp
seq-show-fx-lower-panel	eseq.seq-panels/seq-show-fx-lower-panel	content/ui/seq-panels.lisp
seq-show-sequencer-main	eseq.seq-panels/seq-show-sequencer-main	content/ui/seq-panels.lisp
seq-step-and-track-panel-layout-spec	eseq.seq-layout/step-and-track-panel-layout-spec	content/ui/seq-layout.lisp
seq-step-tab-buffer	eseq.seq-step-tabs/seq-step-tab-buffer	content/ui/seq-step-tabs.lisp
seq-step-tab-matches-buffer?	eseq.seq-step-tabs/seq-step-tab-matches-buffer?	content/ui/seq-step-tabs.lisp
seq-step-tab-sequencer-name	eseq.seq-step-tabs/seq-step-tab-sequencer-name	content/ui/seq-step-tabs.lisp
seq-step-tab-source-path	eseq.seq-step-tabs/seq-step-tab-source-path	content/ui/seq-step-tabs.lisp
seq-switch-pattern	eseq.transport/seq-switch-pattern	content/ui/transport.lisp
seq-timebase-options	eseq.effects.state/seq-timebase-options	content/ui/effects/state.lisp
seq-toggle-arrangement	eseq.seq-panels/seq-toggle-arrangement	content/ui/seq-panels.lisp
seq-toggle-current-track-expanded-main	eseq.seq-panels/seq-toggle-current-track-expanded-main	content/ui/seq-panels.lisp
seq-toggle-current-track-mods-view	eseq.seq-panels/seq-toggle-current-track-mods-view	content/ui/seq-panels.lisp
seq-toggle-fx-panel	eseq.seq-panels/seq-toggle-fx-panel	content/ui/seq-panels.lisp
seq-toggle-fx-piano-roll	eseq.seq-panels/seq-toggle-fx-piano-roll	content/ui/seq-panels.lisp
seq-toggle-main-or-piano-roll	eseq.seq-panels/seq-toggle-main-or-piano-roll	content/ui/seq-panels.lisp
seq-toggle-mixer-panel	eseq.seq-panels/seq-toggle-mixer-panel	content/ui/seq-panels.lisp
seq-toggle-piano-roll-main	eseq.seq-panels/seq-toggle-piano-roll-main	content/ui/seq-panels.lisp
seq-toggle-piano-roll-placement	eseq.seq-panels/seq-toggle-piano-roll-placement	content/ui/seq-panels.lisp
seq-toggle-samples-sidebar	eseq.seq-panels/seq-toggle-samples-sidebar	content/ui/seq-panels.lisp
seq-toggle-sound-palette	eseq.sound-palette/toggle-open	content/ui/sound-palette.lisp
seq-toggle-track-collapsed-ui	eseq.track-collapse/toggle-collapsed-ui	content/ui/track-collapse.lisp
seq-track-collapsed?	eseq.track-collapse/collapsed?	content/ui/track-collapse.lisp
seq-track-custom-instrument?	eseq.track-collapse/custom-instrument?	content/ui/track-collapse.lisp
seq-track-replaceable-instrument?	eseq.track-collapse/replaceable-instrument?	content/ui/track-collapse.lisp
seq-track-sound-replaceable?	eseq.track-collapse/sound-replaceable?	content/ui/track-collapse.lisp
seq-track-type-icon	eseq.track-collapse/type-icon	content/ui/track-collapse.lisp
seq-unregister-step-sequencer-tab	eseq.seq-step-tabs/seq-unregister-step-sequencer-tab	content/ui/seq-step-tabs.lisp
seq-visible-main-panel-buffer	eseq.seq-step-tabs/seq-visible-main-panel-buffer	content/ui/seq-step-tabs.lisp
seq-visible-track-indices	eseq.track-collapse/visible-track-indices	content/ui/track-collapse.lisp
seqv-collapse-all-tracks	eseq.sequencer/collapse-all-tracks	content/ui/sequencer.lisp
seqv-current-number-picker-key	eseq.sequencer/current-number-picker-key	content/ui/sequencer.lisp
seqv-current-page	eseq.sequencer/track-current-page	content/ui/sequencer.lisp
seqv-current-param-mode	eseq.sequencer/current-param-mode	content/ui/sequencer.lisp
seqv-current-param-values	eseq.seqv-track-params/seqv-current-param-values	content/ui/seqv-track-params.lisp
seqv-current-selected-step	eseq.sequencer/current-selected-step	content/ui/sequencer.lisp
seqv-current-step	eseq.sequencer/track-current-step	content/ui/sequencer.lisp
